campaign.resource_name,campaign.name,campaign.id,metrics.clicks,metrics.conversions,metrics.cost_micros,metrics.ctr,metrics.average_cpc,metrics.impressions,segments.date,expanded_landing_page_view.resource_name,expanded_landing_page_view.expanded_final_url
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,55,0.0,13939244,0.09417808219178082,253440.8,584,2026-03-22,customers/3123559470/expandedLandingPageViews/11156159984734890680,https://orlandoeventvenue.org?gad_source=5&gad_campaignid=23662974871
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,14,0.0,5178637,0.04912280701754386,369902.64285714284,285,2026-03-21,customers/3123559470/expandedLandingPageViews/11156159984734890680,https://orlandoeventvenue.org?gad_source=5&gad_campaignid=23662974871
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,7,0.0,2271200,0.02356902356902357,324457.14285714284,297,2026-03-17,customers/3123559470/expandedLandingPageViews/12820257438871293888,https://orlandoeventvenue.org
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,7,0.0,11624865,0.06306306306306306,1660695.0,111,2026-03-18,customers/3123559470/expandedLandingPageViews/10957433931623812002,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEox8GALvox84gmPb5UPDut4S
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,6,0.0,9991768,0.07058823529411765,1665294.6666666667,85,2026-03-17,customers/3123559470/expandedLandingPageViews/10139412092448745950,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpxHIgm1_8mCkARISUGCcc02
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,6,0.0,7324973,0.13043478260869565,1220828.8333333333,46,2026-03-20,customers/3123559470/expandedLandingPageViews/2627309343731115691,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEoacYiwSNfIGMgVfuWCu0Mok
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,5,0.0,8090000,0.29411764705882354,1618000.0,17,2026-03-18,customers/3123559470/expandedLandingPageViews/14768428442231800212,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEqEom0Q5zYaLCcPghHcZ99iB
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,5,0.0,3415648,0.049019607843137254,683129.6,102,2026-03-19,customers/3123559470/expandedLandingPageViews/11156159984734890680,https://orlandoeventvenue.org?gad_source=5&gad_campaignid=23662974871
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,4,0.0,6169894,0.05970149253731343,1542473.5,67,2026-03-18,customers/3123559470/expandedLandingPageViews/8969890257561669955,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,4,0.0,3674190,0.06060606060606061,918547.5,66,2026-03-19,customers/3123559470/expandedLandingPageViews/8969890257561669955,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,4,0.0,4226310,0.08695652173913043,1056577.5,46,2026-03-20,customers/3123559470/expandedLandingPageViews/8969890257561669955,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,3,0.0,6120000,0.01639344262295082,2040000.0,183,2026-03-17,customers/3123559470/expandedLandingPageViews/8145268232624929993,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQErs8o-t9LlZtkLZALZhAuptt
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,3,0.0,3890000,0.08823529411764706,1296666.6666666667,34,2026-03-17,customers/3123559470/expandedLandingPageViews/8346341122434460238,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEr-9NOyQthzT97r4n1tqD8I0
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,3,0.0,2859305,0.028846153846153848,953101.6666666666,104,2026-03-17,customers/3123559470/expandedLandingPageViews/8969890257561669955,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,3,0.0,5040000,0.10714285714285714,1680000.0,28,2026-03-19,customers/3123559470/expandedLandingPageViews/2627309343731115691,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEoacYiwSNfIGMgVfuWCu0Mok
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,3,0.0,3610000,0.06521739130434782,1203333.3333333333,46,2026-03-19,customers/3123559470/expandedLandingPageViews/14768428442231800212,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEqEom0Q5zYaLCcPghHcZ99iB
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,2910000,0.18181818181818182,1455000.0,11,2026-03-16,customers/3123559470/expandedLandingPageViews/2275047528523410687,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpC9BSdAbG0i523ddLa2olRv
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,1963235,0.022222222222222223,981617.5,90,2026-03-16,customers/3123559470/expandedLandingPageViews/6463513324427076671,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQErXLWW2Mu5qUX-W-4Zg9_G8W
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,3790000,0.08,1895000.0,25,2026-03-16,customers/3123559470/expandedLandingPageViews/6836903443263085836,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEqwPO_VPD6gNGirKu4H4OIwG
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,80000,0.03076923076923077,40000.0,65,2026-03-17,customers/3123559470/expandedLandingPageViews/10924012339152012116,https://orlandoeventvenue.org?gad_campaignid=23662973023&wbraid=Cj4KCAjw1N7NBhAmEi4AXhuhYbsdq1ZmfhYBUOIAETwNv7qPxLIPUFBIo7WiltolpGL6DR5Z6Ln5rpewGgISmw
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,20000,0.02631578947368421,10000.0,76,2026-03-18,customers/3123559470/expandedLandingPageViews/9601449220526221364,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,2190000,0.14285714285714285,1095000.0,14,2026-03-19,customers/3123559470/expandedLandingPageViews/1664417648807132424,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQErC7zsv2tuJM5z9BDHi-iqMB
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,2,0.0,772664,0.05128205128205128,386332.0,39,2026-03-23,customers/3123559470/expandedLandingPageViews/11156159984734890680,https://orlandoeventvenue.org?gad_source=5&gad_campaignid=23662974871
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,350000,0.037037037037037035,350000.0,27,2026-03-16,customers/3123559470/expandedLandingPageViews/8969890257561669955,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,38701,0.02,38701.0,50,2026-03-16,customers/3123559470/expandedLandingPageViews/9601449220526221364,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,20000,0.022222222222222223,20000.0,45,2026-03-16,customers/3123559470/expandedLandingPageViews/18012997553920085163,https://orlandoeventvenue.org?gad_campaignid=23662973023&wbraid=Cj8KCQjwsdnNBhDjARIuADmAlzMifmg9VHOUUK4DMgiQ2zzRFGH8ZvOWxs9eV40wfsH92tnopiwpv_OwaRoCDVw
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,1290000,0.038461538461538464,1290000.0,26,2026-03-17,customers/3123559470/expandedLandingPageViews/61459319343749162,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEru0U9LygKIHqaygc09BXv9n
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,1340347,1.0,1340347.0,1,2026-03-17,customers/3123559470/expandedLandingPageViews/5895511186649455248,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpJ-7g4gTo31v6pJRsq_vcry
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,10000,0.023255813953488372,10000.0,43,2026-03-17,customers/3123559470/expandedLandingPageViews/9601449220526221364,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,1430000,0.038461538461538464,1430000.0,26,2026-03-17,customers/3123559470/expandedLandingPageViews/10957433931623812002,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEox8GALvox84gmPb5UPDut4S
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,980000,0.16666666666666666,980000.0,6,2026-03-17,customers/3123559470/expandedLandingPageViews/11861718876733538333,https://orlandoeventvenue.org?gad_source=5&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,1690000,0.005291005291005291,1690000.0,189,2026-03-18,customers/3123559470/expandedLandingPageViews/61459319343749162,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEru0U9LygKIHqaygc09BXv9n
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,18556,0.25,18556.0,4,2026-03-18,customers/3123559470/expandedLandingPageViews/1558440015041978020,https://orlandoeventvenue.org/?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,20000,0.009009009009009009,20000.0,111,2026-03-18,customers/3123559470/expandedLandingPageViews/2869759291166430188,https://orlandoeventvenue.org?gad_campaignid=23662973023&wbraid=Cj4KCAjw9-PNBhB7Ei4AsOLqerD8RvK_vEA_ZGh0sU_giqf8KVvT4JbQHpwx5UwHrv6NTav3PHmhSKqdGgLMmQ
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,1450000,0.2,1450000.0,5,2026-03-18,customers/3123559470/expandedLandingPageViews/8953488029113299743,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEq_UDYJywz-jMYT4Tn0c97-X
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,1010000,0.5,1010000.0,2,2026-03-18,customers/3123559470/expandedLandingPageViews/11861718876733538333,https://orlandoeventvenue.org?gad_source=5&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,10000,0.25,10000.0,4,2026-03-19,customers/3123559470/expandedLandingPageViews/1558440015041978020,https://orlandoeventvenue.org/?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,10000,0.020833333333333332,10000.0,48,2026-03-19,customers/3123559470/expandedLandingPageViews/8398177734592448206,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023&gbraid=0AAAABDHTQEq1mrOW3iqvgipXZ_KqA3Rv_
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,29842,0.015873015873015872,29842.0,63,2026-03-19,customers/3123559470/expandedLandingPageViews/9601449220526221364,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,990000,0.0625,990000.0,16,2026-03-19,customers/3123559470/expandedLandingPageViews/12275069546086856068,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEo09uS8YaLnEgqxdfhXHw1Ex
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,3060000,0.009900990099009901,3060000.0,101,2026-03-20,customers/3123559470/expandedLandingPageViews/565456666591951221,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpauv5wPesUiVqht_zY4tmuc
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,50000,0.05263157894736842,50000.0,19,2026-03-20,customers/3123559470/expandedLandingPageViews/1664417648807132424,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQErC7zsv2tuJM5z9BDHi-iqMB
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,1630000,0.1,1630000.0,10,2026-03-20,customers/3123559470/expandedLandingPageViews/3851848118580449958,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpttjoGgsVWGFmZ80W0IYhPZ
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,274999,0.5,274999.0,2,2026-03-22,customers/3123559470/expandedLandingPageViews/2704916175491829935,https://orlandoeventvenue.org?gbraid=0AAAABDHTQEr4hSPhAD43AkcUHfunlAfws&gad_source=5&gad_campaignid=23662974871
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,810000,0.038461538461538464,810000.0,26,2026-03-22,customers/3123559470/expandedLandingPageViews/8969890257561669955,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,19448,0.02564102564102564,19448.0,39,2026-03-22,customers/3123559470/expandedLandingPageViews/9601449220526221364,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,12940000,0.25,12940000.0,4,2026-03-23,customers/3123559470/expandedLandingPageViews/6557836968617352806,https://orlandoeventvenue.org/?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEo4dZEtaK7-0cxld-VjMpvHV
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,1,0.0,4630000,0.25,4630000.0,4,2026-03-23,customers/3123559470/expandedLandingPageViews/9369449784866217438,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEo4dZEtaK7-0cxld-VjMpvHV
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,2,2026-03-15,customers/3123559470/expandedLandingPageViews/1954775787712981076,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpGNYNJf2wBWlG9Uswl_nU1h
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,3,2026-03-15,customers/3123559470/expandedLandingPageViews/2909324808225266470,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023&gbraid=0AAAABDHTQEp4iqAfoAzpQ89wTjz6ZvagE
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-15,customers/3123559470/expandedLandingPageViews/5862453007928274240,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023&gbraid=0AAAABDHTQErqNcBP2dJ5SN2vciCTWMScp
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,3,2026-03-15,customers/3123559470/expandedLandingPageViews/6463513324427076671,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQErXLWW2Mu5qUX-W-4Zg9_G8W
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-15,customers/3123559470/expandedLandingPageViews/9601449220526221364,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/103298968478682280,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpOfjjGpXmXEpFmxYcW41AAa
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/814924681129455302,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEq-GeldzV__jUhvns_llerUw
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,73,2026-03-16,customers/3123559470/expandedLandingPageViews/2909324808225266470,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023&gbraid=0AAAABDHTQEp4iqAfoAzpQ89wTjz6ZvagE
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/5270325452560291045,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpsTGWv2GxGyh9s_qcRNUQBP
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/6433519865103007049,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEowIA7NOcdr4OzsHe9iAU8ia
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/7256882885943296812,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEq598Grtep8A9uSNocOhvEIa
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,2,2026-03-16,customers/3123559470/expandedLandingPageViews/7996404618152627582,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEqZaVu2BHkSgEc8eZgp5-rQr
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,16,2026-03-16,customers/3123559470/expandedLandingPageViews/8145268232624929993,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQErs8o-t9LlZtkLZALZhAuptt
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,2,2026-03-16,customers/3123559470/expandedLandingPageViews/8346341122434460238,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEr-9NOyQthzT97r4n1tqD8I0
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/9422586842287229543,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEq8tYxUnIdlEaSbXXN_Npdai
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,4,2026-03-16,customers/3123559470/expandedLandingPageViews/10049575488352033229,https://orlandoeventvenue.org?gad_source=2&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,13,2026-03-16,customers/3123559470/expandedLandingPageViews/10139412092448745950,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpxHIgm1_8mCkARISUGCcc02
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,40,2026-03-16,customers/3123559470/expandedLandingPageViews/10924012339152012116,https://orlandoeventvenue.org?gad_campaignid=23662973023&wbraid=Cj4KCAjw1N7NBhAmEi4AXhuhYbsdq1ZmfhYBUOIAETwNv7qPxLIPUFBIo7WiltolpGL6DR5Z6Ln5rpewGgISmw
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,4,2026-03-16,customers/3123559470/expandedLandingPageViews/11861718876733538333,https://orlandoeventvenue.org?gad_source=5&gad_campaignid=23662973023
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,104811,0.0,,4,2026-03-16,customers/3123559470/expandedLandingPageViews/12820257438871293888,https://orlandoeventvenue.org
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,6,2026-03-16,customers/3123559470/expandedLandingPageViews/12889599967731110652,https://orlandoeventvenue.org?gad_campaignid=23662973023&wbraid=Cj8KCQjwsdnNBhDjARIuADmAlzMYkr_YJHt4Dl1stommo4hfE-3p2wHmzi8C7cLMNu1Tazntls3TwTwdlhoCAQY
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,2,2026-03-16,customers/3123559470/expandedLandingPageViews/13525321482001056469,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEq8YK__BF6ash7RlbmvRXGoL
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,2,2026-03-16,customers/3123559470/expandedLandingPageViews/14204302415657385275,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEqgwKYcqF8rlvbsSDT91zd8C
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,2,2026-03-16,customers/3123559470/expandedLandingPageViews/14255374110633596912,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEriC19T7bCOxUXDn5B7aI1PI
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/14639878823933398898,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEpYFGmCv77AMY6Nq3e7_28ny
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/14746711684886345989,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQEp2SUB_nUMYHinjzlTL4X1L5
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,17,2026-03-16,customers/3123559470/expandedLandingPageViews/14823301569606877660,https://orlandoeventvenue.org?gad_source=6&gad_campaignid=23662973023&gbraid=0AAAABDHTQEqpPGiCNvUDLF28Qw1vApwxJ
customers/3123559470/campaigns/23652899436,Event Venue Orlando,23652899436,0,0.0,0,0.0,,1,2026-03-16,customers/3123559470/expandedLandingPageViews/16083282589414965415,https://orlandoeventvenue.org?gad_source=1&gad_campaignid=23662973023&gbraid=0AAAABDHTQErFrmvbWFyx9G8_9BKT5bZle
